City,Temperature_C,Feels_Like_C,Humidity,Pressure,Wind_Speed,Weather_Description,Timestamp
Chennai,27.36,29.58,71,1013,5.31,broken clouds,2026-02-21 09:47:57.997039
Bangalore,24.2,24.03,52,1015,4.97,broken clouds,2026-02-21 09:47:58.877778
Mumbai,27.51,28.57,58,1012,1.77,clear sky,2026-02-21 09:47:59.648165
Delhi,21.61,20.69,33,1015,3.05,clear sky,2026-02-21 09:48:00.447529
Hyderabad,26.17,26.17,44,1015,4.14,few clouds,2026-02-21 09:48:01.342379
Kolkata,28.14,26.75,15,1015,2.16,clear sky,2026-02-21 09:48:02.292000
Pune,27.69,27.01,33,1014,2.55,clear sky,2026-02-21 09:48:03.047604
Jaipur,22.24,21.43,35,1016,0.78,clear sky,2026-02-21 09:48:03.787913
Ahmedabad,27.01,26.82,39,1014,4.84,clear sky,2026-02-21 09:48:04.588312
Kochi,28.38,30.83,66,1012,1.63,clear sky,2026-02-21 09:48:05.347106
